"College Code","College Desc","Division Code","Division Desc","Dept1 Short Desc","Dept2 Code","Dept2 Short Desc","Dept1 Code","Prog Code","Prog Short Title","Prog Long Title","ATAS Req’d Ind","Prog Mode Code","Prog Mode Desc","Campus Code","Campus Desc","Length","Degree Code","Degree Long Desc","Joint Honours Ind","Alt Qual Ind","Subject1 Code","Subject1 Desc","Subject2 Code","Subject2 Desc","Subject3 Code","Subject3 Desc","Delivering Institution 1 Code","Delivering Institution 1 Desc","Delivering Institution 2 Code","Delivering Institution 2 Desc","Delivering Institution 3 Code","Delivering Institution 3 Desc","UOM Code","UOM Desc","Major Dept Code","Major Dept Short Desc","Reg Body Code","Reg Body Desc"
"14","College Medicine and Den Sci","074","Institute of Clinical Sciences","Pharmacy","","","205","414C","PG VRS Pharmacy FT A300","Pharmacy","N","01","Full-time according to funding coun","B","Birmingham","12","134","Visiting Research Student","N","N","A300","Clinical medicine","","","","","0110","University of Birmingham","","","","","2","Months","205","Pharmacy","",""
"14","College Medicine and Den Sci","074","Institute of Clinical Sciences","Institute of Clinical Sciences","","","256","420C","PG VRS Clinical Scienc FT B100","Clinical Sciences","Y","01","Full-time according to funding coun","B","Birmingham","12","134","Visiting Research Student","N","N","B100","Anatomy, physiology & pathology","","","","","0110","University of Birmingham","","","","","2","Months","256","Institute of Clinical Sciences","",""
"14","College Medicine and Den Sci","065","Cancer Studies","Inst of Cancer / Genomic Sci","038","School of Biosciences","128","442C","MSc Bioinformatics PT","Bioinformatics","N","31","Part-time","B","Birmingham","2","039","Master of Science","N","N","C100","Biology","I520","Bioinformatics","","","0110","University of Birmingham","","","","","1","Year(s)","128","Inst of Cancer / Genomic Sci","",""
"10","College Life and Env Sci","036","Sport, Ex and Rehab Sciences","Sport, Ex and Rehab Sciences","","","036","563C","MRes Spinal Pain FT","Spinal Pain","N","01","Full-time according to funding coun","B","Birmingham","1","110","Master of Research","N","N","B190","Anatomy, physiology & pathology no","","","","","0110","University of Birmingham","","","","","1","Year(s)","036","Sport, Ex and Rehab Sciences","",""
"14","College Medicine and Den Sci","074","Institute of Clinical Sciences","Institute of Clinical Sciences","","","256","732C","PGCert Biome Res: Inte Tran AQ","Biomedical Research: Integrative and Translational","Y","","","B","Birmingham","","086","Postgraduate Certificate","N","Y","","","","","","","0110","University of Birmingham","","","","","","","256","Institute of Clinical Sciences","",""
"13","College Eng and Physical Sci","080","School of Engineering","Civil Engineering","","","015","745C","MSc Structural Engineering PT","Structural Engineering","N","31","Part-time","B","Birmingham","2","039","Master of Science","N","N","H200","Civil engineering","","","","","0110","University of Birmingham","","","","","1","Year(s)","015","Civil Engineering","",""
"11","College Arts and Law","046","Eng, Drama, & Creative Studies","Eng Lang and Linguistics","","","237","494C","PGDip Eng Lang + App Ling AQ","English Language and Applied Linguistics","N","","","B","Birmingham","","001","Postgraduate Diploma","N","Y","","","","","","","0110","University of Birmingham","","","","","","","237","Eng Lang and Linguistics","",""
"13","College Eng and Physical Sci","056","Chemical Engineering","Chemical Engineering","","","013","777C","MEng Chem Eng w Ind St w CS","Chemical Engineering with Industrial Study with Year in Computer Science","N","01","Full-time according to funding coun","B","Birmingham","6","021","Master of Engineering","N","N","H810","Chemical engineering","I100","Computer science","","","0110","University of Birmingham","","","","","1","Year(s)","013","Chemical Engineering","",""
"11","College Arts and Law","047","History and Cultures","History","022","Geography","225","687A","BA Hist + Geog w Year Ab FT","History and Geography with Year Abroad","N","01","Full-time according to funding coun","B","Birmingham","4","003","Bachelor of Arts","N","N","L700","Human & social geography","V100","History by period","","","0110","University of Birmingham","","","","","1","Year(s)","225","History","",""
"11","College Arts and Law","047","History and Cultures","Ironbridge Int Inst & Cul Her","","","188","625C","MA World Heritage Stud DL PT","World Heritage Studies","N","31","Part-time","D","Distance Education","24","038","Master of Arts","N","N","V300","History by topic","","","","","0110","University of Birmingham","","","","","2","Months","188","Ironbridge Int Inst & Cul Her","",""
"12","College Social Sciences","012","Birmingham Business School","Birmingham Business School","","","211","2139","UG Aff Accounting PT","Accounting and Finance","N","31","Part-time","B","Birmingham","99","073","Undergraduate Affiliate","N","N","N400","Accounting","","","","","0110","University of Birmingham","","","","","9","Not applicable","211","Birmingham Business School","",""
"12","College Social Sciences","012","Birmingham Business School","Birmingham Business School","","","211","2274","PG Aff Economics FT","Economics","N","01","Full-time according to funding coun","B","Birmingham","12","087","Postgraduate Affiliate","N","N","L100","Economics","","","","","0110","University of Birmingham","","","","","2","Months","211","Birmingham Business School","",""
"13","College Eng and Physical Sci","029","Mathematics","Mathematics","","","029","449C","BSc App Math w Stat (Jinan) FT","Applied Mathematics with Statistics","N","01","Full-time according to funding coun","R","Totally Taught Abroad","4","004","Bachelor of Science","N","N","G100","Mathematics","","","","","0110","University of Birmingham","Z152","Jinan University","","","1","Year(s)","029","Mathematics","",""
"13","College Eng and Physical Sci","016","Computer Science","Computer Science","","","016","9264","MSc by Research Sch of Compute","","N","01","Full-time according to funding coun","B","Birmingham","12","071","Master of Science","N","N","I100","Computer science","","","","","0110","University of Birmingham","","","","","2","Months","016","Computer Science","",""
